pilot_id,queue,source_path,testament,book_or_scope,title,drive_file_id,mime_type,preliminary_reference,duplicate_group,notes,source_url
SEL-001,SELECIONADOS,"90 - Projetos, Pilotos e Versões / ACERVO BÍBLICO PADRONIZADO — PILOTO",AT,Gênesis,O cajado — Gênesis 32:10,1A9QcfGJ7XQowFAQ_EoK_5cPfEDYFjvRSj-Dhv161d_s,application/vnd.google-apps.document,Gênesis 32:10,,Google Doc já padronizado no piloto anterior,https://drive.google.com/open?id=1A9QcfGJ7XQowFAQ_EoK_5cPfEDYFjvRSj-Dhv161d_s
SEL-002,SELECIONADOS,"90 - Projetos, Pilotos e Versões / ACERVO BÍBLICO PADRONIZADO — PILOTO",AT,Gênesis,Instrumentistas — Gênesis 4:21–22,1UjEHDnC3yleicaEMHs8UcmtM_e9g46zjvyxJGfZoFq8,application/vnd.google-apps.document,Gênesis 4:21–22,,Google Doc já padronizado no piloto anterior,https://drive.google.com/open?id=1UjEHDnC3yleicaEMHs8UcmtM_e9g46zjvyxJGfZoFq8
SEL-003,SELECIONADOS,"90 - Projetos, Pilotos e Versões / ACERVO BÍBLICO PADRONIZADO — PILOTO",AT,Gênesis,O fim de toda carne — Gênesis 6:13–15,1u5KkDSZ1M6w5hAFSvnPIi8Cjd4E4Df0jDjWAkNFsJSo,application/vnd.google-apps.document,Gênesis 6:13–15,,Google Doc já padronizado no piloto anterior,https://drive.google.com/open?id=1u5KkDSZ1M6w5hAFSvnPIi8Cjd4E4Df0jDjWAkNFsJSo
SEL-004,SELECIONADOS,"90 - Projetos, Pilotos e Versões / ACERVO BÍBLICO PADRONIZADO — PILOTO",AT,Gênesis,Madrugada — Gênesis 32:22–31,1dfdJZy-nZ_NQanGyTav99MUd5nCEOhzpBDWNNsyheIU,application/vnd.google-apps.document,Gênesis 32:22–31,,Google Doc já padronizado no piloto anterior,https://drive.google.com/open?id=1dfdJZy-nZ_NQanGyTav99MUd5nCEOhzpBDWNNsyheIU
SEL-005,SELECIONADOS,"90 - Projetos, Pilotos e Versões / ACERVO BÍBLICO PADRONIZADO — PILOTO",AT,Salmos,A MINHA ALMA TEM SEDE DO DEUS VIVO — Salmo 42:2,1dD7DNB9CxEmGcH3vJ6XsXlZY8PcyLZ9orJO0gT_uS6k,application/vnd.google-apps.document,Salmo 42:2,,Google Doc já padronizado no piloto anterior,https://drive.google.com/open?id=1dD7DNB9CxEmGcH3vJ6XsXlZY8PcyLZ9orJO0gT_uS6k
SEL-006,SELECIONADOS,"90 - Projetos, Pilotos e Versões / ACERVO BÍBLICO PADRONIZADO — PILOTO",AT,Salmos,O Senhor é o meu Pastor,1Jm4WfizNpk44Rx3VkcTlmafvyWbC3OwOgTybjQC68Og,application/vnd.google-apps.document,Salmo 23,,Google Doc já padronizado; referência precisa ser confirmada no conteúdo,https://drive.google.com/open?id=1Jm4WfizNpk44Rx3VkcTlmafvyWbC3OwOgTybjQC68Og
SEL-007,SELECIONADOS,"90 - Projetos, Pilotos e Versões / ACERVO BÍBLICO PADRONIZADO — PILOTO",AT,Salmos,A REVELAÇÃO — Salmo 36:9,1YQxsqh14PpCnpJFY-xsiU9B2MKfdu5xges_4g8NS4PE,application/vnd.google-apps.document,Salmo 36:9,,Google Doc já padronizado no piloto anterior,https://drive.google.com/open?id=1YQxsqh14PpCnpJFY-xsiU9B2MKfdu5xges_4g8NS4PE
SEL-008,SELECIONADOS,"90 - Projetos, Pilotos e Versões / ACERVO BÍBLICO PADRONIZADO — PILOTO",NT,João,O DISCÍPULO TOMÉ,17EGnXkpt0Dp1ei0EMHzMwCFfGm61H7XMyzTL6OuT-3c,application/vnd.google-apps.document,,,Google Doc já padronizado; referência principal será extraída do conteúdo,https://drive.google.com/open?id=17EGnXkpt0Dp1ei0EMHzMwCFfGm61H7XMyzTL6OuT-3c
SEL-009,SELECIONADOS,"90 - Projetos, Pilotos e Versões / ACERVO BÍBLICO PADRONIZADO — PILOTO",NT,João,"Caminho, Verdade e Vida",1YZvjPg6VQM7xewDm84b-MwJDGMqz0axWpLsYyLqDxj4,application/vnd.google-apps.document,João 14:6,,Google Doc já padronizado; referência preliminar pelo título,https://drive.google.com/open?id=1YZvjPg6VQM7xewDm84b-MwJDGMqz0axWpLsYyLqDxj4
SEL-010,SELECIONADOS,01 - Antigo Testamento / 02 - Êxodo,AT,Êxodo,Êxodo 12:21 — A Escolha do Cordeiro.doc,1ZZMQth3K72dblF12UQMDSYs6w3XlXcP1,application/msword,Êxodo 12:21,,DOC legado; bom teste de extração,https://drive.google.com/open?id=1ZZMQth3K72dblF12UQMDSYs6w3XlXcP1
SEL-011,SELECIONADOS,01 - Antigo Testamento / 02 - Êxodo,AT,Êxodo,Êxodo 25:8–9 — O Tabernáculo.doc,1HQGt8ksm_aa9q-GfD6YOXg5eU_D0mrFg,application/msword,Êxodo 25:8–9,,DOC legado; tema Tabernáculo,https://drive.google.com/open?id=1HQGt8ksm_aa9q-GfD6YOXg5eU_D0mrFg
SEL-012,SELECIONADOS,01 - Antigo Testamento / 02 - Êxodo,AT,Êxodo,Êxodo 28:2–36 — As Vestes do Sumo Sacerdote — estudo de terça-feira 17-02-2026.pptx,1CHDgM7I07AdSlJjZN3GUD0xeIKBQs67Y,application/vnd.openxmlformats-officedocument.presentationml.presentation,Êxodo 28:2–36,,PPTX recente; testa extração de slides,https://drive.google.com/open?id=1CHDgM7I07AdSlJjZN3GUD0xeIKBQs67Y
SEL-013,SELECIONADOS,01 - Antigo Testamento / 02 - Êxodo,AT,Êxodo,Êxodo 28 — As Vestes Sacerdotais.pdf,1NTWX5I8daaXz34Ub5KrpqY3VFmublKNG,application/pdf,Êxodo 28,,PDF; testa extração de texto e relação com PPTX semelhante,https://drive.google.com/open?id=1NTWX5I8daaXz34Ub5KrpqY3VFmublKNG
SEL-014,SELECIONADOS,01 - Antigo Testamento / 07 - Juízes,AT,Juízes,Juízes 13:1–2 — O Nascimento de Sansão.doc,1X4x8r7SOupyraqsk4yGNsmeOrbqmSdwn,application/msword,Juízes 13:1–2,,DOC legado; personagem Sansão,https://drive.google.com/open?id=1X4x8r7SOupyraqsk4yGNsmeOrbqmSdwn
SEL-015,SELECIONADOS,01 - Antigo Testamento / 07 - Juízes,AT,Juízes,Juízes 16:16–21 — Perdição e Salvação.doc,1scgEB0aAi2M9yAuVL5ZsHR4_UvxCjpjw,application/msword,Juízes 16:16–21,,DOC legado; personagem Sansão,https://drive.google.com/open?id=1scgEB0aAi2M9yAuVL5ZsHR4_UvxCjpjw
SEL-016,SELECIONADOS,01 - Antigo Testamento / 23 - Isaías,AT,Isaías,Isaías 9:6 — A Glória de Deus.docx,1opZl0TkyY17B4orOR5sCeiCoWkKZZSse,application/vnd.openxmlformats-officedocument.wordprocessingml.document,Isaías 9:6,,DOCX; cristológico,https://drive.google.com/open?id=1opZl0TkyY17B4orOR5sCeiCoWkKZZSse
SEL-017,SELECIONADOS,01 - Antigo Testamento / 23 - Isaías,AT,Isaías,Aniquilará a morte para sempre - Is25.8-9.doc,163r5-flx0-C_4cpkHfioxLfRpPaHTxVF,application/msword,Isaías 25:8–9,,DOC legado; referência explícita,https://drive.google.com/open?id=163r5-flx0-C_4cpkHfioxLfRpPaHTxVF
SEL-018,SELECIONADOS,01 - Antigo Testamento / 23 - Isaías,AT,Isaías,O Bom Pastor - Is40.11.doc,1FanOLRiySbtBzLRwf5Edd_kQtG0lf5ZW,application/msword,Isaías 40:11,,DOC legado; tema pastor,https://drive.google.com/open?id=1FanOLRiySbtBzLRwf5Edd_kQtG0lf5ZW
SEL-019,SELECIONADOS,02 - Novo Testamento / 42 - Lucas,NT,Lucas,Lucas 7:11–17 — Moveu-se de Íntima Compaixão.doc,1X3QOZ011LtzwacBq-gf8nKsk6Giap4kC,application/msword,Lucas 7:11–17,,DOC legado; filho da viúva de Naim,https://drive.google.com/open?id=1X3QOZ011LtzwacBq-gf8nKsk6Giap4kC
SEL-020,SELECIONADOS,02 - Novo Testamento / 42 - Lucas,NT,Lucas,Ovelha Perdida.docx,1olamzuE6F_5MqQ0Qb08UUb2ZUgWDqYPA,application/vnd.openxmlformats-officedocument.wordprocessingml.document,Lucas 15,,DOCX; parábola; referência exata será extraída,https://drive.google.com/open?id=1olamzuE6F_5MqQ0Qb08UUb2ZUgWDqYPA
SEL-021,SELECIONADOS,02 - Novo Testamento / 44 - Atos,NT,Atos,At 14:23 - O ministério,1kGq-EHDJFTg4PTVMJP9FNxZvD0r6cpMeK6G3wRprYxs,application/vnd.google-apps.document,Atos 14:23,,Google Doc nativo,https://drive.google.com/open?id=1kGq-EHDJFTg4PTVMJP9FNxZvD0r6cpMeK6G3wRprYxs
SEL-022,SELECIONADOS,02 - Novo Testamento / 44 - Atos,NT,Atos,Louvor na prisão.docx,1AJsLudgAgiG4-jrm0j9tYMAf35yVzvrn,application/vnd.openxmlformats-officedocument.wordprocessingml.document,Atos 16,,DOCX; Paulo e Silas,https://drive.google.com/open?id=1AJsLudgAgiG4-jrm0j9tYMAf35yVzvrn
SEL-023,SELECIONADOS,02 - Novo Testamento / 44 - Atos,NT,Atos,Êutico - At20.7-11.doc,1rsLe_r5-m6lpRojhPLbwcbYVOFdPaMXg,application/msword,Atos 20:7–11,,DOC legado; personagem Êutico,https://drive.google.com/open?id=1rsLe_r5-m6lpRojhPLbwcbYVOFdPaMXg
SEL-024,SELECIONADOS,02 - Novo Testamento / 45 - Romanos,NT,Romanos,Romanos 6:23 - Porque o salário do pecado é a morte...,1aCZAur1Ucq2LgPzffJeMTvpDpED2glWJuMIeeq_Gk4g,application/vnd.google-apps.document,Romanos 6:23,,Google Doc nativo,https://drive.google.com/open?id=1aCZAur1Ucq2LgPzffJeMTvpDpED2glWJuMIeeq_Gk4g
SEL-025,SELECIONADOS,02 - Novo Testamento / 45 - Romanos,NT,Romanos,Romanos 14:12 — Andar no Caminho.doc,19GwGRTxnoPUYAOf4xz_Bysu8kNlmg0dL,application/msword,Romanos 14:12,,DOC legado,https://drive.google.com/open?id=19GwGRTxnoPUYAOf4xz_Bysu8kNlmg0dL
SEL-026,SELECIONADOS,02 - Novo Testamento / 66 - Apocalipse,NT,Apocalipse,SETE CARTAS DO APOCALIPSE.docx,11qRTyfE6YF12O7dZZj2TNuQA0SiwZkc5,application/vnd.openxmlformats-officedocument.wordprocessingml.document,Apocalipse 2–3,,DOCX; série temática,https://drive.google.com/open?id=11qRTyfE6YF12O7dZZj2TNuQA0SiwZkc5
SEL-027,SELECIONADOS,02 - Novo Testamento / 66 - Apocalipse,NT,Apocalipse,As coisas deste mundo - Ap4.1-2.docx,1RoTSvdmtVA25tK0nyQUaefOq12SeFv2V,application/vnd.openxmlformats-officedocument.wordprocessingml.document,Apocalipse 4:1–2,,DOCX,https://drive.google.com/open?id=1RoTSvdmtVA25tK0nyQUaefOq12SeFv2V
SEL-028,SELECIONADOS,02 - Novo Testamento / 66 - Apocalipse,NT,Apocalipse,APOCALIPSE - Ap1.1-3.doc,1J52ana0fjTL7wuPZFlFwVWEbyeguFhPv,application/msword,Apocalipse 1:1–3,,DOC legado,https://drive.google.com/open?id=1J52ana0fjTL7wuPZFlFwVWEbyeguFhPv
